fips,PST045212,PST040210,PST120212,POP010210,LND110210,POP060210
4025,212637,211033,0.8,211033,8123.5,26
4027,200022,195750,2.2,195751,5513.99,35.5
5000,2949131,2915919,1.1,2915918,52035.48,56
5001,18892,19018,-0.7,19019,988.77,19.2
5003,21524,21853,-1.5,21853,925.35,23.6
5005,41048,41513,-1.1,41513,554.28,74.9
5007,232268,221344,4.9,221339,847.36,261.2
5009,37327,36903,1.1,36903,590.23,62.5
5011,11397,11508,-1,11508,649.23,17.7
5013,5307,5368,-1.1,5368,628.58,8.5
5015,27610,27446,0.6,27446,630.09,43.6
5017,11433,11800,-3.1,11800,644.3,18.3
5019,22936,22995,-0.3,22995,866.07,26.6
5021,15684,16083,-2.5,16083,639.47,25.2
5023,25808,25970,-0.6,25970,553.69,46.9
5025,8627,8689,-0.7,8689,597.78,14.5
5027,24473,24552,-0.3,24552,766.05,32.1
5029,21287,21271,0.1,21273,552.25,38.5
5031,99735,96443,3.4,96443,707.21,136.4
5033,61946,61948,0,61948,593.09,104.4
5035,50021,50902,-1.7,50902,609.76,83.5
5037,17683,17870,-1,17870,616.38,29
5039,7987,8116,-1.6,8116,667.39,12.2
5041,12545,13008,-3.6,13008,768.15,16.9
5043,18743,18509,1.3,18509,828.36,22.3
5045,118704,113237,4.8,113237,647.88,174.8
5047,18045,18125,-0.4,18125,608.86,29.8
5049,12318,12245,0.6,12245,618.19,19.8
5051,96903,96024,0.9,96024,677.78,141.7
5053,17986,17853,0.7,17853,631.81,28.3
5055,43163,42090,2.5,42090,577.7,72.9
5057,22373,22609,-1,22609,727.52,31.1
5059,33394,32923,1.4,32923,615.2,53.5
5061,13735,13789,-0.4,13789,588.55,23.4
5063,37025,36646,1,36647,763.95,48
5065,13474,13696,-1.6,13696,580.58,23.6
5067,17600,17998,-2.2,17997,633.94,28.4
5069,74723,77435,-3.5,77435,870.75,88.9
5071,25901,25540,1.4,25540,659.8,38.7
5073,7447,7645,-2.6,7645,528.27,14.5
5075,17012,17412,-2.3,17415,587.61,29.6
5077,10216,10424,-2,10424,602.62,17.3
5079,14101,14134,-0.2,14134,561.52,25.2
5081,12919,13171,-1.9,13171,532.25,24.7
5083,21983,22353,-1.7,22353,708.13,31.6
5085,69839,68356,2.2,68356,770.73,88.7
5087,15645,15720,-0.5,15717,834.26,18.8
5089,16568,16653,-0.5,16653,597.01,27.9
5091,43634,43462,0.4,43462,625.58,69.5
5093,45562,46480,-2,46480,900.57,51.6
5095,7828,8150,-4,8149,607.12,13.4
5097,9340,9487,-1.5,9487,779.88,12.2
5099,8925,8997,-0.8,8997,617.84,14.6
5101,8086,8330,-2.9,8330,820.9,10.1
5103,25396,26121,-2.8,26120,732.78,35.6
5105,10339,10445,-1,10445,551.4,18.9
5107,20784,21757,-4.5,21757,695.66,31.3
5109,11247,11291,-0.4,11291,600.62,18.8
5111,24307,24583,-1.1,24583,758.39,32.4
5113,20471,20662,-0.9,20662,857.68,24.1
5115,62765,61754,1.6,61754,812.55,76
5117,8458,8715,-2.9,8715,647.96,13.4
5119,388953,382748,1.6,382748,759.76,503.8
5121,17930,17969,-0.2,17969,652.19,27.6
5123,27858,28258,-1.4,28258,634.77,44.5
5125,111845,107118,4.4,107118,723.6,148
5127,11010,11233,-2,11233,892.32,12.6
5129,8007,8195,-2.3,8195,666.1,12.3
5131,127304,125744,1.2,125744,531.91,236.4
5133,17177,17058,0.7,17058,565.13,30.2
5135,17054,17267,-1.2,17264,604.44,28.6
5137,12663,12394,2.2,12394,606.41,20.4
5139,40867,41639,-1.9,41639,1039.21,40.1
5141,17030,17294,-1.5,17295,708.14,24.4
5143,211411,203060,4.1,203065,941.97,215.6
5145,78493,77076,1.8,77076,1035.08,74.5
5147,7100,7260,-2.2,7260,586.79,12.4
5149,21932,22185,-1.1,22185,929.98,23.9
6000,38041430,37253956,2.1,37253956,155779.22,239.1
6001,1554720,1510271,2.9,1510271,739.02,2043.6
6003,1129,1175,-3.9,1175,738.33,1.6
6005,37035,38091,-2.8,38091,594.58,64.1
6007,221539,220000,0.7,220000,1636.46,134.4
6009,44742,45578,-1.8,45578,1020.01,44.7
6011,21411,21419,0,21419,1150.73,18.6
6013,1079597,1049025,2.9,1049025,715.94,1465.2
6015,28290,28610,-1.1,28610,1006.37,28.4
6017,180561,181058,-0.3,181058,1707.88,106
6019,947895,930450,1.9,930450,5957.99,156.2
6021,27992,28122,-0.5,28122,1313.95,21.4
6023,134827,134623,0.2,134623,3567.99,37.7
6025,176948,174528,1.4,174528,4176.6,41.8
6027,18495,18546,-0.3,18546,10180.88,1.8
6029,856158,839631,2,839631,8131.92,103.3
6031,151364,152982,-1.1,152982,1389.42,110.1
6033,63983,64665,-1.1,64665,1256.46,51.5
6035,33658,34895,-3.5,34895,4541.18,7.7
6037,9962789,9818605,1.5,9818605,4057.88,2419.6
6039,152218,150865,0.9,150865,2137.07,70.6
6041,256069,252409,1.5,252409,520.31,485.1
6043,17905,18251,-1.9,18251,1448.82,12.6
6045,87428,87841,-0.5,87841,3506.34,25.1
6047,262305,255793,2.5,255793,1934.97,132.2
6049,9327,9686,-3.7,9686,3917.77,2.5
6051,14348,14202,1,14202,3048.98,4.7
6053,426762,415057,2.8,415057,3280.6,126.5
6055,139045,136484,1.9,136484,748.36,182.4
6057,98292,98764,-0.5,98764,957.77,103.1
6059,3090132,3010237,2.7,3010232,790.57,3807.7
6061,361682,348432,3.8,348432,1407.01,247.6
6063,19399,20007,-3,20007,2553.04,7.8
6065,2268783,2189641,3.6,2189641,7206.48,303.8
6067,1450121,1418788,2.2,1418788,964.64,1470.8
6069,56884,55269,2.9,55269,1388.71,39.8
6071,2081313,2035210,2.3,2035210,20056.94,101.5
6073,3177063,3095308,2.6,3095313,4206.63,735.8
6075,825863,805235,2.6,805235,46.87,17179.1
6077,702612,685308,2.5,685306,1391.32,492.6
6079,274804,269637,1.9,269637,3298.57,81.7
6081,739311,718451,2.9,718451,448.41,1602.2
6083,431249,423895,1.7,423895,2735.09,155
6085,1837504,1781642,3.1,1781642,1290.1,1381
6087,266776,262382,1.7,262382,445.17,589.4
6089,178586,177223,0.8,177223,3775.4,46.9
6091,3086,3240,-4.8,3240,953.21,3.4
6093,44154,44900,-1.7,44900,6277.89,7.2
6095,420757,413344,1.8,413344,821.77,503
6097,491829,483878,1.6,483878,1575.85,307.1
6099,521726,514451,1.4,514453,1494.83,344.2
6101,95022,94737,0.3,94737,602.41,157.3
6103,63406,63463,-0.1,63463,2949.71,21.5
6105,13526,13786,-1.9,13786,3179.25,4.3
6107,451977,442179,2.2,442179,4824.22,91.7
6109,54008,55365,-2.5,55365,2220.88,24.9
6111,835981,823318,1.5,823318,1843.13,446.7
6113,204118,200849,1.6,200849,1014.69,197.9
6115,72926,72155,1.1,72155,631.84,114.2
8000,5187582,5029196,3.1,5029196,103641.89,48.5
8001,459598,441603,4.1,441603,1167.65,378.2
8003,16148,15445,4.6,15445,722.64,21.4
8005,595546,572137,4.1,572003,798.1,716.7
8007,12070,12084,-0.1,12084,1350.18,8.9
8009,3751,3788,-1,3788,2554.97,1.5
8011,5773,6499,-11.2,6499,1512.86,4.3
8013,305318,294571,3.6,294567,726.29,405.6
8014,58298,55870,4.3,55889,33.03,1691.9
8015,18150,17809,1.9,17809,1013.4,17.6
8017,1874,1836,2.1,1836,1778.28,1
8019,9026,9088,-0.7,9088,395.23,23
8021,8275,8256,0.2,8256,1287.39,6.4
8023,3594,3524,2,3524,1226.95,2.9
8025,5365,5823,-7.9,5823,787.42,7.4
8027,4249,4255,-0.1,4255,738.63,5.8
8029,30432,30952,-1.7,30952,1142.05,27.1
8031,634265,600024,5.7,600158,153,3922.6
8033,1994,2064,-3.4,2064,1067.05,1.9
8035,298215,285465,4.5,285465,840.25,339.7
8037,51874,52197,-0.6,52197,1684.53,31
8039,23383,23086,1.3,23086,1850.85,12.5
8041,644964,622263,3.6,622263,2126.8,292.6
8043,46788,46824,-0.1,46824,1533.07,30.5
8045,56953,56389,1,56389,2947.56,19.1
8047,5491,5441,0.9,5441,149.9,36.3
8049,14195,14843,-4.4,14843,1846.33,8
8051,15475,15324,1,15324,3239.1,4.7
8053,810,843,-3.9,843,1117.25,0.8
8055,6596,6711,-1.7,6711,1591,4.2
8057,1348,1394,-3.3,1394,1613.72,0.9
8059,545358,534558,2,534543,764.21,699.5
